,danceability,energy,loudness,valence,tempo,user
"Peso Pluma: Bzrp Music Sessions, Vol. 55",0.854,0.668,-7.848,0.805,132.966,gonza
"L-Gante: Bzrp Music Sessions, Vol.38",0.553,0.819,-3.083,0.761,87.913,gonza
"Villano Antillano: Bzrp Music Sessions, Vol. 51",0.82,0.752,-7.635,0.423,127.999,gonza
"Quevedo: Bzrp Music Sessions, Vol. 52",0.621,0.782,-5.548,0.55,128.033,gonza
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",0.65,0.655,-3.71,0.735,94.059,gonza
"Snow Tha Product: Bzrp Music Sessions, Vol. 39",0.829,0.748,-5.361,0.529,133.029,gonza
"Nicky Jam: Bzrp Music Sessions, Vol. 41",0.627,0.849,-3.167,0.818,89.907,gonza
"Nicki Nicole: Bzrp Music Sessions, Vol. 13",0.81,0.471,-5.047,0.391,75.003,gonza
"Tiago PZK: Bzrp Music Sessions, Vol. 48",0.657,0.821,-3.06,0.752,96.561,gonza
"Arcángel: Bzrp Music Sessions, Vol. 54",0.716,0.78,-3.495,0.786,123.856,gonza
"Ptazeta: Bzrp Music Sessions, Vol. 45",0.829,0.81,-4.801,0.707,114.044,gonza
"Eladio Carrion: Bzrp Music Sessions, Vol. 40",0.783,0.524,-6.455,0.839,117.496,gonza
"Paulo Londra: Bzrp Music Sessions, Vol. 23",0.527,0.91,-2.659,0.329,95.943,gonza
"Duki: Bzrp Music Sessions, Vol. 50",0.535,0.874,-2.248,0.323,140.006,gonza
"Dani Ribba: Bzrp Music Sessions, Vol. 24",0.914,0.689,-7.743,0.852,129.882,gonza
"Morad: Bzrp Music Sessions, Vol. 47",0.77,0.859,-4.526,0.548,122.042,gonza
"Trueno: Bzrp Freestyle Sessions, Vol. 6",0.778,0.739,-5.453,0.496,150.033,gonza
"Aleman: Bzrp Music Sessions, Vol. 15",0.813,0.884,-4.817,0.646,126.892,gonza
Quédate - Tiësto Remix,0.652,0.877,-2.767,0.722,127.996,gonza
"Residente: Bzrp Music Sessions, Vol. 49",0.586,0.74,-2.997,0.697,71.378,gonza
Sleepless - Stephan Bodzin Remix,0.742,0.662,-8.149,0.0845,119.991,nico
Be Someone,0.672,0.788,-8.393,0.356,121.99,nico
Icarus,0.53,0.926,-7.496,0.0315,121.986,nico
Come Together,0.306,0.851,-10.907,0.0392,79.465,nico
Hold Me Close - Vintage Culture Remix,0.612,0.774,-7.538,0.287,124.023,nico
Next to Me - Vintage Culture Remix,0.548,0.846,-7.534,0.109,123.001,nico
Breathe,0.595,0.877,-7.414,0.081,125.015,nico
Inner Light,0.651,0.709,-7.842,0.126,121.02,nico
I Want You (feat. braev),0.404,0.674,-9.056,0.0364,123.948,nico
I’ll Find My Way To You,0.795,0.474,-8.166,0.477,120.017,nico
Spektrum (feat. Ali Love),0.535,0.707,-7.055,0.0347,122.979,nico
Collider,0.8,0.626,-11.735,0.335,125.0,nico
Cappadocia,0.349,0.685,-9.281,0.277,123.025,nico
Abu Simbel,0.443,0.705,-8.673,0.073,117.991,nico
Waiting,0.701,0.758,-9.247,0.249,120.001,nico
Water (feat. ZOHARA),0.567,0.738,-6.03,0.432,121.936,nico
You & Me - Flume Remix,0.593,0.392,-6.872,0.25,75.065,nico
Human (feat. Echoes),0.544,0.856,-6.84,0.233,125.992,nico
The Future (with James Vincent McMorrow),0.553,0.72,-5.003,0.416,149.188,nico
Paralyzed,0.632,0.724,-6.972,0.27,124.013,nico
"Neon - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.435,0.548,-12.525,0.497,83.622,flori
"Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.514,0.536,-7.13,0.453,133.861,flori
"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.25,0.903,-4.772,0.57,172.183,flori
"Belief - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.592,0.894,-6.078,0.387,101.245,flori
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",0.558,0.524,-11.626,0.636,93.654,flori
Cocaine,0.699,0.502,-12.526,0.676,105.267,flori
Purple Haze,0.533,0.905,-5.27,0.486,108.9,flori
Hey Joe,0.346,0.768,-5.695,0.532,169.492,flori
Little Wing,0.515,0.534,-8.045,0.426,70.776,flori
Do I Wanna Know?,0.548,0.532,-7.596,0.405,85.03,flori
Fluorescent Adolescent,0.654,0.828,-5.377,0.79,112.056,flori
Heart-Shaped Box,0.256,0.641,-10.283,0.382,203.006,flori
Little Wing,0.475,0.383,-14.202,0.524,114.709,flori
Voodoo Child (Slight Return),0.214,0.91,-6.662,0.448,175.549,flori
Layla,0.408,0.801,-6.648,0.262,113.98,flori
I Shot The Sheriff,0.73,0.639,-11.025,0.658,94.395,flori
Black Dog - Remaster,0.437,0.864,-7.842,0.749,81.394,flori
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",0.695,0.336,-12.999,0.422,79.109,flori
Earth Blues,0.632,0.76,-7.747,0.747,110.227,flori
Fly Away,0.587,0.872,-5.066,0.735,159.925,flori
